Sample,Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,sum,Rel_ab
M8955,5,MSD_FS_B,FS_B,MSD,B,FS,P07,3,0.001921289,0.192128912
M8956,5,CON_FS_B,FS_B,CON,B,FS,P08,3,0,0
M8957,5,AWD_FS_B,FS_B,AWD,B,FS,P09,3,0.001332507,0.133250697
M8958,5,AWD_FS_B,FS_B,AWD,B,FS,P10,4,0.000588782,0.058878215
M8959,5,MSD_FS_B,FS_B,MSD,B,FS,P11,4,0.001301518,0.130151844
M8960,5,CON_FS_B,FS_B,CON,B,FS,P12,4,0.001890301,0.189030059
M8961,5,MSD_FS_B,FS_B,MSD,B,FS,P13,5,0.002510071,0.251007127
M8962,5,AWD_FS_B,FS_B,AWD,B,FS,P14,5,0.001580415,0.158041525
M8963,5,CON_FS_B,FS_B,CON,B,FS,P15,5,0.001301518,0.130151844
M9217,6,AWD_FS_T,FS_T,AWD,T,FS,P01,1,0.000867679,0.086767896
M9218,6,AWD_FS_B,FS_B,AWD,B,FS,P01,1,0.001332507,0.133250697
M9219,6,MSD_FS_T,FS_T,MSD,T,FS,P02,1,0.002479083,0.247908274
M9220,6,MSD_FS_B,FS_B,MSD,B,FS,P02,1,0.002076232,0.207623179
M9221,6,CON_FS_T,FS_T,CON,T,FS,P03,1,0.001301518,0.130151844
M9222,6,CON_FS_B,FS_B,CON,B,FS,P03,1,0.002045243,0.204524326
M9223,6,MSD_FS_T,FS_T,MSD,T,FS,P04,2,0.001735358,0.173535792
M9224,6,MSD_FS_B,FS_B,MSD,B,FS,P04,2,0.00148745,0.148744964
M9225,6,AWD_FS_T,FS_T,AWD,T,FS,P05,2,0.002076232,0.207623179
M9226,6,AWD_FS_B,FS_B,AWD,B,FS,P05,2,0.000929656,0.092965603
M9227,6,CON_FS_T,FS_T,CON,T,FS,P06,2,0.002169197,0.21691974
M9228,6,CON_FS_B,FS_B,CON,B,FS,P06,2,0.001549427,0.154942671
M9229,6,MSD_FS_T,FS_T,MSD,T,FS,P07,3,0.00105361,0.105361016
M9230,6,MSD_FS_B,FS_B,MSD,B,FS,P07,3,0.000309885,0.030988534
M9231,6,CON_FS_T,FS_T,CON,T,FS,P08,3,0.004183452,0.418345212
M9232,6,CON_FS_B,FS_B,CON,B,FS,P08,3,0.002076232,0.207623179
M9233,6,AWD_FS_T,FS_T,AWD,T,FS,P09,3,0.002386117,0.238611714
M9234,6,AWD_FS_B,FS_B,AWD,B,FS,P09,3,0.001456461,0.145646111
M9235,6,AWD_FS_T,FS_T,AWD,T,FS,P10,4,0.001983266,0.198326619
M9236,6,AWD_FS_B,FS_B,AWD,B,FS,P10,4,0.002262163,0.2262163
M9237,6,MSD_FS_T,FS_T,MSD,T,FS,P11,4,0.000929656,0.092965603
M9238,6,MSD_FS_B,FS_B,MSD,B,FS,P11,4,0.000526805,0.052680508
M9239,6,CON_FS_T,FS_T,CON,T,FS,P12,4,0.001456461,0.145646111
M9240,6,CON_FS_B,FS_B,CON,B,FS,P12,4,0.001611404,0.161140378
M9241,6,MSD_FS_T,FS_T,MSD,T,FS,P13,5,0.00127053,0.12705299
M9242,6,MSD_FS_B,FS_B,MSD,B,FS,P13,5,0.001704369,0.170436938
M9243,6,AWD_FS_T,FS_T,AWD,T,FS,P14,5,0.000712736,0.071273629
M9244,6,AWD_FS_B,FS_B,AWD,B,FS,P14,5,0.000991633,0.09916331
M9245,6,CON_FS_T,FS_T,CON,T,FS,P15,5,0.001704369,0.170436938
M9246,6,CON_FS_B,FS_B,CON,B,FS,P15,5,0.001456461,0.145646111
