Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,Sample,Rel_ab
1,AWD_IN_B,IN_B,AWD,B,IN,P05,2,M8508,0.133250697
1,AWD_IN_B,IN_B,AWD,B,IN,P09,3,M8516,0.185931205
1,AWD_IN_B,IN_B,AWD,B,IN,P10,4,M8518,0.251007127
1,AWD_IN_B,IN_B,AWD,B,IN,P14,5,M8526,0.185931205
2,CON_GS_T,GS_T,CON,T,GS,P03,1,M8595,0.167338085
2,CON_GS_T,GS_T,CON,T,GS,P06,2,M8601,0.294391075
2,CON_GS_T,GS_T,CON,T,GS,P08,3,M8605,0.269600248
2,CON_GS_T,GS_T,CON,T,GS,P12,4,M8613,0.173535792
2,CON_GS_T,GS_T,CON,T,GS,P15,5,M8619,0.158041525
3,CON_GS_T,GS_T,CON,T,GS,P03,1,M8730,0.201425473
3,CON_GS_T,GS_T,CON,T,GS,P06,2,M8736,0.2262163
3,CON_GS_T,GS_T,CON,T,GS,P08,3,M8740,0.238611714
3,CON_GS_T,GS_T,CON,T,GS,P12,4,M8748,0.266501394
3,CON_GS_T,GS_T,CON,T,GS,P15,5,M8754,0.350170437
4,CON_GS_T,GS_T,CON,T,GS,P03,1,M8818,0.241710567
4,CON_GS_T,GS_T,CON,T,GS,P06,2,M8824,0.278896808
4,CON_GS_T,GS_T,CON,T,GS,P08,3,M8828,0.480322281
4,CON_GS_T,GS_T,CON,T,GS,P12,4,M8836,0.139448404
4,CON_GS_T,GS_T,CON,T,GS,P15,5,M8842,0.170436938
2,CON_GS_B,GS_B,CON,B,GS,P03,1,M8596,0.213820886
2,CON_GS_B,GS_B,CON,B,GS,P06,2,M8602,0.257204834
2,CON_GS_B,GS_B,CON,B,GS,P08,3,M8606,0.133250697
2,CON_GS_B,GS_B,CON,B,GS,P15,5,M8620,0.154942671
3,CON_GS_B,GS_B,CON,B,GS,P03,1,M8731,0.133250697
3,CON_GS_B,GS_B,CON,B,GS,P06,2,M8737,0.176634645
3,CON_GS_B,GS_B,CON,B,GS,P08,3,M8741,0.232414007
3,CON_GS_B,GS_B,CON,B,GS,P12,4,M8749,0.136349551
3,CON_GS_B,GS_B,CON,B,GS,P15,5,M8755,0.300588782
4,CON_GS_B,GS_B,CON,B,GS,P03,1,M8819,0.21691974
4,CON_GS_B,GS_B,CON,B,GS,P06,2,M8825,0.189030059
4,CON_GS_B,GS_B,CON,B,GS,P08,3,M8829,0.288193368
4,CON_GS_B,GS_B,CON,B,GS,P12,4,M8837,0.2262163
4,CON_GS_B,GS_B,CON,B,GS,P15,5,M8843,0.189030059
2,MSD_GS_T,GS_T,MSD,T,GS,P02,1,M8593,0.189030059
2,MSD_GS_T,GS_T,MSD,T,GS,P04,2,M8597,0.114657577
2,MSD_GS_T,GS_T,MSD,T,GS,P07,3,M8603,0.133250697
2,MSD_GS_T,GS_T,MSD,T,GS,P11,4,M8611,0.179733499
2,MSD_GS_T,GS_T,MSD,T,GS,P13,5,M8615,0.173535792
3,MSD_GS_T,GS_T,MSD,T,GS,P02,1,M8728,0.192128912
3,MSD_GS_T,GS_T,MSD,T,GS,P04,2,M8732,0.123954137
3,MSD_GS_T,GS_T,MSD,T,GS,P07,3,M8738,0.223117447
3,MSD_GS_T,GS_T,MSD,T,GS,P11,4,M8746,0.167338085
3,MSD_GS_T,GS_T,MSD,T,GS,P13,5,M8750,0.142547258
4,MSD_GS_T,GS_T,MSD,T,GS,P02,1,M8816,0.086767896
4,MSD_GS_T,GS_T,MSD,T,GS,P04,2,M8820,0.251007127
4,MSD_GS_T,GS_T,MSD,T,GS,P07,3,M8826,0.170436938
4,MSD_GS_T,GS_T,MSD,T,GS,P11,4,M8834,0.086767896
4,MSD_GS_T,GS_T,MSD,T,GS,P13,5,M8838,0.278896808
2,MSD_GS_B,GS_B,MSD,B,GS,P02,1,M8594,0.10845987
2,MSD_GS_B,GS_B,MSD,B,GS,P04,2,M8598,0.179733499
2,MSD_GS_B,GS_B,MSD,B,GS,P07,3,M8604,0.154942671
2,MSD_GS_B,GS_B,MSD,B,GS,P11,4,M8612,0.158041525
2,MSD_GS_B,GS_B,MSD,B,GS,P13,5,M8616,0.170436938
3,MSD_GS_B,GS_B,MSD,B,GS,P02,1,M8729,0.12705299
3,MSD_GS_B,GS_B,MSD,B,GS,P04,2,M8733,0.139448404
3,MSD_GS_B,GS_B,MSD,B,GS,P07,3,M8739,0.151843818
3,MSD_GS_B,GS_B,MSD,B,GS,P11,4,M8747,0.151843818
3,MSD_GS_B,GS_B,MSD,B,GS,P13,5,M8751,0.111558723
4,MSD_GS_B,GS_B,MSD,B,GS,P02,1,M8817,0.170436938
4,MSD_GS_B,GS_B,MSD,B,GS,P04,2,M8821,0.102262163
4,MSD_GS_B,GS_B,MSD,B,GS,P07,3,M8827,0.148744964
4,MSD_GS_B,GS_B,MSD,B,GS,P11,4,M8835,0.111558723
4,MSD_GS_B,GS_B,MSD,B,GS,P13,5,M8839,0.232414007
2,AWD_GS_T,GS_T,AWD,T,GS,P01,1,M8591,0.158041525
2,AWD_GS_T,GS_T,AWD,T,GS,P05,2,M8599,0.130151844
2,AWD_GS_T,GS_T,AWD,T,GS,P09,3,M8607,0.133250697
2,AWD_GS_T,GS_T,AWD,T,GS,P10,4,M8609,0.142547258
2,AWD_GS_T,GS_T,AWD,T,GS,P14,5,M8617,0.089866749
3,AWD_GS_T,GS_T,AWD,T,GS,P01,1,M8726,0.130151844
3,AWD_GS_T,GS_T,AWD,T,GS,P05,2,M8734,0.142547258
3,AWD_GS_T,GS_T,AWD,T,GS,P09,3,M8742,0.145646111
3,AWD_GS_T,GS_T,AWD,T,GS,P10,4,M8744,0.142547258
3,AWD_GS_T,GS_T,AWD,T,GS,P14,5,M8752,0.303687636
4,AWD_GS_T,GS_T,AWD,T,GS,P01,1,M8814,0.189030059
4,AWD_GS_T,GS_T,AWD,T,GS,P05,2,M8822,0.133250697
4,AWD_GS_T,GS_T,AWD,T,GS,P09,3,M8830,0.086767896
4,AWD_GS_T,GS_T,AWD,T,GS,P10,4,M8832,0.161140378
4,AWD_GS_T,GS_T,AWD,T,GS,P14,5,M8840,0.229315153
2,AWD_GS_B,GS_B,AWD,B,GS,P01,1,M8592,0.052680508
2,AWD_GS_B,GS_B,AWD,B,GS,P05,2,M8600,0.158041525
2,AWD_GS_B,GS_B,AWD,B,GS,P09,3,M8608,0.145646111
2,AWD_GS_B,GS_B,AWD,B,GS,P10,4,M8610,0.154942671
2,AWD_GS_B,GS_B,AWD,B,GS,P14,5,M8618,0.198326619
3,AWD_GS_B,GS_B,AWD,B,GS,P01,1,M8727,0.074372482
3,AWD_GS_B,GS_B,AWD,B,GS,P05,2,M8735,0.092965603
3,AWD_GS_B,GS_B,AWD,B,GS,P09,3,M8743,0.145646111
3,AWD_GS_B,GS_B,AWD,B,GS,P10,4,M8745,0.164239231
3,AWD_GS_B,GS_B,AWD,B,GS,P14,5,M8753,0.173535792
4,AWD_GS_B,GS_B,AWD,B,GS,P01,1,M8815,0.173535792
4,AWD_GS_B,GS_B,AWD,B,GS,P05,2,M8823,0.111558723
4,AWD_GS_B,GS_B,AWD,B,GS,P09,3,M8831,0.120855284
4,AWD_GS_B,GS_B,AWD,B,GS,P10,4,M8833,0.083669042
4,AWD_GS_B,GS_B,AWD,B,GS,P14,5,M8841,0.142547258
6,CON_FS_T,FS_T,CON,T,FS,P03,1,M9221,0.192128912
6,CON_FS_T,FS_T,CON,T,FS,P06,2,M9227,0.319181903
6,CON_FS_T,FS_T,CON,T,FS,P08,3,M9231,0.436938333
6,CON_FS_T,FS_T,CON,T,FS,P12,4,M9239,0.266501394
6,CON_FS_T,FS_T,CON,T,FS,P15,5,M9245,0.303687636
6,CON_FS_B,FS_B,CON,B,FS,P03,1,M9222,0.278896808
6,CON_FS_B,FS_B,CON,B,FS,P06,2,M9228,0.173535792
6,CON_FS_B,FS_B,CON,B,FS,P08,3,M9232,0.2262163
6,CON_FS_B,FS_B,CON,B,FS,P12,4,M9240,0.21691974
6,CON_FS_B,FS_B,CON,B,FS,P15,5,M9246,0.198326619
5,CON_FS_B,FS_B,CON,B,FS,P03,1,M8951,0.210722033
5,CON_FS_B,FS_B,CON,B,FS,P06,2,M8954,0.185931205
5,CON_FS_B,FS_B,CON,B,FS,P08,3,M8956,0.021691974
5,CON_FS_B,FS_B,CON,B,FS,P12,4,M8960,0.254105981
5,CON_FS_B,FS_B,CON,B,FS,P15,5,M8963,0.158041525
6,MSD_FS_T,FS_T,MSD,T,FS,P02,1,M9219,0.303687636
6,MSD_FS_T,FS_T,MSD,T,FS,P04,2,M9223,0.340873877
6,MSD_FS_T,FS_T,MSD,T,FS,P07,3,M9229,0.158041525
6,MSD_FS_T,FS_T,MSD,T,FS,P11,4,M9237,0.192128912
6,MSD_FS_T,FS_T,MSD,T,FS,P13,5,M9241,0.232414007
6,MSD_FS_B,FS_B,MSD,B,FS,P02,1,M9220,0.244809421
6,MSD_FS_B,FS_B,MSD,B,FS,P04,2,M9224,0.207623179
6,MSD_FS_B,FS_B,MSD,B,FS,P07,3,M9230,0.065075922
6,MSD_FS_B,FS_B,MSD,B,FS,P11,4,M9238,0.105361016
6,MSD_FS_B,FS_B,MSD,B,FS,P13,5,M9242,0.207623179
5,MSD_FS_B,FS_B,MSD,B,FS,P02,1,M8950,0.189030059
5,MSD_FS_B,FS_B,MSD,B,FS,P04,2,M8952,0.161140378
5,MSD_FS_B,FS_B,MSD,B,FS,P07,3,M8955,0.229315153
5,MSD_FS_B,FS_B,MSD,B,FS,P11,4,M8959,0.167338085
5,MSD_FS_B,FS_B,MSD,B,FS,P13,5,M8961,0.300588782
6,AWD_FS_T,FS_T,AWD,T,FS,P01,1,M9217,0.123954137
6,AWD_FS_T,FS_T,AWD,T,FS,P05,2,M9225,0.266501394
6,AWD_FS_T,FS_T,AWD,T,FS,P09,3,M9233,0.303687636
6,AWD_FS_T,FS_T,AWD,T,FS,P10,4,M9235,0.232414007
6,AWD_FS_T,FS_T,AWD,T,FS,P14,5,M9243,0.10845987
6,AWD_FS_B,FS_B,AWD,B,FS,P01,1,M9218,0.179733499
6,AWD_FS_B,FS_B,AWD,B,FS,P05,2,M9226,0.111558723
6,AWD_FS_B,FS_B,AWD,B,FS,P09,3,M9234,0.164239231
6,AWD_FS_B,FS_B,AWD,B,FS,P10,4,M9236,0.288193368
6,AWD_FS_B,FS_B,AWD,B,FS,P14,5,M9244,0.12705299
5,AWD_FS_B,FS_B,AWD,B,FS,P01,1,M8949,0.139448404
5,AWD_FS_B,FS_B,AWD,B,FS,P05,2,M8953,0.192128912
5,AWD_FS_B,FS_B,AWD,B,FS,P09,3,M8957,0.142547258
5,AWD_FS_B,FS_B,AWD,B,FS,P10,4,M8958,0.065075922
5,AWD_FS_B,FS_B,AWD,B,FS,P14,5,M8962,0.182832352
