Sample,Sampling,Desc1,Desc2,Treat,Prof,Stage,Plot,Rep,sum,Rel_ab
M8525,1,AWD_IN_T,IN_T,AWD,T,IN,P14,5,0.000526805,0.052680508
M8526,1,AWD_IN_B,IN_B,AWD,B,IN,P14,5,0.000247908,0.024790827
M8527,1,CON_IN_T,IN_T,CON,T,IN,P15,5,0.000123954,0.012395414
M8528,1,CON_IN_B,IN_B,CON,B,IN,P15,5,0.000340874,0.034087388
M8591,2,AWD_GS_T,GS_T,AWD,T,GS,P01,1,0.00021692,0.021691974
M8592,2,AWD_GS_B,GS_B,AWD,B,GS,P01,1,0.000154943,0.015494267
M8593,2,MSD_GS_T,GS_T,MSD,T,GS,P02,1,0.000185931,0.018593121
M8594,2,MSD_GS_B,GS_B,MSD,B,GS,P02,1,0.000154943,0.015494267
M8595,2,CON_GS_T,GS_T,CON,T,GS,P03,1,0.000402851,0.040285095
M8596,2,CON_GS_B,GS_B,CON,B,GS,P03,1,0.00083669,0.083669042
M8597,2,MSD_GS_T,GS_T,MSD,T,GS,P04,2,0.000340874,0.034087388
M8598,2,MSD_GS_B,GS_B,MSD,B,GS,P04,2,0.00021692,0.021691974
M8599,2,AWD_GS_T,GS_T,AWD,T,GS,P05,2,0.000371862,0.037186241
M8600,2,AWD_GS_B,GS_B,AWD,B,GS,P05,2,0.000309885,0.030988534
M8601,2,CON_GS_T,GS_T,CON,T,GS,P06,2,0.000309885,0.030988534
M8602,2,CON_GS_B,GS_B,CON,B,GS,P06,2,0.000123954,0.012395414
M8603,2,MSD_GS_T,GS_T,MSD,T,GS,P07,3,0.000433839,0.043383948
M8604,2,MSD_GS_B,GS_B,MSD,B,GS,P07,3,0.000371862,0.037186241
M8605,2,CON_GS_T,GS_T,CON,T,GS,P08,3,0.000619771,0.061977068
M8606,2,CON_GS_B,GS_B,CON,B,GS,P08,3,0.000278897,0.027889681
M8607,2,AWD_GS_T,GS_T,AWD,T,GS,P09,3,0.000371862,0.037186241
M8608,2,AWD_GS_B,GS_B,AWD,B,GS,P09,3,0.000495817,0.049581655
M8609,2,AWD_GS_T,GS_T,AWD,T,GS,P10,4,0.000278897,0.027889681
M8610,2,AWD_GS_B,GS_B,AWD,B,GS,P10,4,0.000154943,0.015494267
M8611,2,MSD_GS_T,GS_T,MSD,T,GS,P11,4,0.000433839,0.043383948
M8612,2,MSD_GS_B,GS_B,MSD,B,GS,P11,4,0.000340874,0.034087388
M8613,2,CON_GS_T,GS_T,CON,T,GS,P12,4,0.000495817,0.049581655
M8615,2,MSD_GS_T,GS_T,MSD,T,GS,P13,5,0.000247908,0.024790827
M8616,2,MSD_GS_B,GS_B,MSD,B,GS,P13,5,0.000495817,0.049581655
M8617,2,AWD_GS_T,GS_T,AWD,T,GS,P14,5,0.00021692,0.021691974
M8618,2,AWD_GS_B,GS_B,AWD,B,GS,P14,5,0.000309885,0.030988534
M8619,2,CON_GS_T,GS_T,CON,T,GS,P15,5,0.000185931,0.018593121
M8620,2,CON_GS_B,GS_B,CON,B,GS,P15,5,0.000154943,0.015494267
M8726,3,AWD_GS_T,GS_T,AWD,T,GS,P01,1,0.000247908,0.024790827
M8727,3,AWD_GS_B,GS_B,AWD,B,GS,P01,1,0.00021692,0.021691974
M8728,3,MSD_GS_T,GS_T,MSD,T,GS,P02,1,0.00021692,0.021691974
M8729,3,MSD_GS_B,GS_B,MSD,B,GS,P02,1,0.000278897,0.027889681
M8730,3,CON_GS_T,GS_T,CON,T,GS,P03,1,0.000154943,0.015494267
M8731,3,CON_GS_B,GS_B,CON,B,GS,P03,1,6.19771E-05,0.006197707
M8732,3,MSD_GS_T,GS_T,MSD,T,GS,P04,2,0.000309885,0.030988534
M8733,3,MSD_GS_B,GS_B,MSD,B,GS,P04,2,0.000247908,0.024790827
M8734,3,AWD_GS_T,GS_T,AWD,T,GS,P05,2,0.000371862,0.037186241
M8735,3,AWD_GS_B,GS_B,AWD,B,GS,P05,2,6.19771E-05,0.006197707
M8736,3,CON_GS_T,GS_T,CON,T,GS,P06,2,0.000650759,0.065075922
M8737,3,CON_GS_B,GS_B,CON,B,GS,P06,2,0.000650759,0.065075922
M8738,3,MSD_GS_T,GS_T,MSD,T,GS,P07,3,0.000991633,0.09916331
M8739,3,MSD_GS_B,GS_B,MSD,B,GS,P07,3,0.000402851,0.040285095
M8740,3,CON_GS_T,GS_T,CON,T,GS,P08,3,0.000557794,0.055779362
M8741,3,CON_GS_B,GS_B,CON,B,GS,P08,3,0.000619771,0.061977068
M8742,3,AWD_GS_T,GS_T,AWD,T,GS,P09,3,0.000433839,0.043383948
M8743,3,AWD_GS_B,GS_B,AWD,B,GS,P09,3,0.000557794,0.055779362
M8744,3,AWD_GS_T,GS_T,AWD,T,GS,P10,4,0.000743725,0.074372482
M8745,3,AWD_GS_B,GS_B,AWD,B,GS,P10,4,0.000402851,0.040285095
M8746,3,MSD_GS_T,GS_T,MSD,T,GS,P11,4,0.00021692,0.021691974
M8747,3,MSD_GS_B,GS_B,MSD,B,GS,P11,4,0.000154943,0.015494267
M8748,3,CON_GS_T,GS_T,CON,T,GS,P12,4,0.001115587,0.111558723
M8749,3,CON_GS_B,GS_B,CON,B,GS,P12,4,0.000743725,0.074372482
M8750,3,MSD_GS_T,GS_T,MSD,T,GS,P13,5,0.000247908,0.024790827
M8751,3,MSD_GS_B,GS_B,MSD,B,GS,P13,5,0.000619771,0.061977068
M8752,3,AWD_GS_T,GS_T,AWD,T,GS,P14,5,0.000681748,0.068174775
M8753,3,AWD_GS_B,GS_B,AWD,B,GS,P14,5,0.000309885,0.030988534
M8754,3,CON_GS_T,GS_T,CON,T,GS,P15,5,0.000805702,0.080570189
M8755,3,CON_GS_B,GS_B,CON,B,GS,P15,5,0.00021692,0.021691974
M8814,4,AWD_GS_T,GS_T,AWD,T,GS,P01,1,0.00083669,0.083669042
M8815,4,AWD_GS_B,GS_B,AWD,B,GS,P01,1,0.000557794,0.055779362
M8816,4,MSD_GS_T,GS_T,MSD,T,GS,P02,1,0.000247908,0.024790827
M8817,4,MSD_GS_B,GS_B,MSD,B,GS,P02,1,0.000340874,0.034087388
M8818,4,CON_GS_T,GS_T,CON,T,GS,P03,1,0.000588782,0.058878215
M8819,4,CON_GS_B,GS_B,CON,B,GS,P03,1,0.000464828,0.046482801
M8820,4,MSD_GS_T,GS_T,MSD,T,GS,P04,2,0.000743725,0.074372482
M8821,4,MSD_GS_B,GS_B,MSD,B,GS,P04,2,0.000247908,0.024790827
M8822,4,AWD_GS_T,GS_T,AWD,T,GS,P05,2,0.000495817,0.049581655
M8823,4,AWD_GS_B,GS_B,AWD,B,GS,P05,2,0.000247908,0.024790827
M8824,4,CON_GS_T,GS_T,CON,T,GS,P06,2,0.000619771,0.061977068
M8825,4,CON_GS_B,GS_B,CON,B,GS,P06,2,0.000588782,0.058878215
M8826,4,MSD_GS_T,GS_T,MSD,T,GS,P07,3,0.000185931,0.018593121
M8827,4,MSD_GS_B,GS_B,MSD,B,GS,P07,3,0.000650759,0.065075922
M8828,4,CON_GS_T,GS_T,CON,T,GS,P08,3,0.002231174,0.223117447
M8829,4,CON_GS_B,GS_B,CON,B,GS,P08,3,0.000743725,0.074372482
M8830,4,AWD_GS_T,GS_T,AWD,T,GS,P09,3,0.000247908,0.024790827
M8831,4,AWD_GS_B,GS_B,AWD,B,GS,P09,3,0.000123954,0.012395414
M8832,4,AWD_GS_T,GS_T,AWD,T,GS,P10,4,0.000433839,0.043383948
M8833,4,AWD_GS_B,GS_B,AWD,B,GS,P10,4,0.000309885,0.030988534
M8834,4,MSD_GS_T,GS_T,MSD,T,GS,P11,4,6.19771E-05,0.006197707
M8835,4,MSD_GS_B,GS_B,MSD,B,GS,P11,4,0.00021692,0.021691974
M8836,4,CON_GS_T,GS_T,CON,T,GS,P12,4,0.000402851,0.040285095
M8837,4,CON_GS_B,GS_B,CON,B,GS,P12,4,0.000247908,0.024790827
M8838,4,MSD_GS_T,GS_T,MSD,T,GS,P13,5,0.000495817,0.049581655
M8839,4,MSD_GS_B,GS_B,MSD,B,GS,P13,5,0.000898667,0.089866749
M8840,4,AWD_GS_T,GS_T,AWD,T,GS,P14,5,0.000557794,0.055779362
M8841,4,AWD_GS_B,GS_B,AWD,B,GS,P14,5,0,0
M8842,4,CON_GS_T,GS_T,CON,T,GS,P15,5,0.000185931,0.018593121
M8843,4,CON_GS_B,GS_B,CON,B,GS,P15,5,0.00021692,0.021691974
M8949,5,AWD_FS_B,FS_B,AWD,B,FS,P01,1,0.000154943,0.015494267
M8950,5,MSD_FS_B,FS_B,MSD,B,FS,P02,1,0.000402851,0.040285095
M8951,5,CON_FS_B,FS_B,CON,B,FS,P03,1,0.000557794,0.055779362
M8952,5,MSD_FS_B,FS_B,MSD,B,FS,P04,2,0.000185931,0.018593121
M8953,5,AWD_FS_B,FS_B,AWD,B,FS,P05,2,0.000340874,0.034087388
M8954,5,CON_FS_B,FS_B,CON,B,FS,P06,2,0.000433839,0.043383948
